date_iso,plant_key,energy_kwh,irradiance_kwh_m2,irradiance_source,pr,pr_confidence,capacity_factor,capacity_factor_confidence,inverters_reporting,inverters_with_reboot,notes,written_at_utc,pr_stc,specific_yield,availability,soiling_loss_pct,data_class,cloud_coverage_pct,expected_kwh,production_pct,status_note,design_kwh,billable_kwh
2026-08-15,SLP1,977.4,6.9964,shinemaster_history,0.7362,HIGH,0.2707,HIGH,2,0,,2026-08-16T12:00:13+00:00,0.7979,5.1506,1,0.1022,full,21.498,992.79,0.9816,energy corrected from vendor daily counter (was 974.5) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,977.4
2026-08-15,SLP2,1343.9,6.7906,shinemaster_history,0.6609,HIGH,0.2101,MEDIUM,2,1,1 inverter(s) detected mid-day reboots; energy total uses max() instead of last(),2026-08-16T12:00:15+00:00,0.7066,4.4876,0.8421,0.2037,full,17.5159,1418.95,0.8811,energy corrected from vendor daily counter (was 1250.3) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,1343.9
2026-08-15,GTO1,3918.4,5.4837,shinemaster_history,0.8714,HIGH,0.2396,HIGH,6,0,,2026-08-16T12:00:18+00:00,0.9666,4.7788,1,0.0318,full,35.0759,3365.61,1.1619,energy corrected from vendor daily counter (was 3910.6) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),4241,3918.4
2026-08-15,MEX1,3140.55,6.5688,shinemaster_history,0.8137,HIGH,0.2904,HIGH,3,0,,2026-08-16T12:00:20+00:00,0.8704,5.3453,1,0.0196,full,67.2743,2890.49,1.085,Above plan (108% of expected). | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2897.3,3140.55
2026-08-15,NL1,3070.4,6.2189,shinemaster_history,0.7976,HIGH,0.2573,HIGH,4,0,,2026-08-16T12:00:22+00:00,0.8635,4.9602,1,0.1943,full,50.8914,2879.66,1.0635,energy corrected from vendor daily counter (was 3062.4) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),3240.2,3070.4
2026-08-15,MEX2,3297.32,6.5688,shinemaster_history,0.8223,HIGH,0.305,HIGH,3,0,,2026-08-16T12:00:24+00:00,0.8797,5.4012,1,0.0438,full,67.2743,3004.44,1.0963,Above plan (110% of expected). | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2838.3,3297.32
2026-08-15,MEX3,804.7,6.5688,shinemaster_history,0.7894,HIGH,0.27,HIGH,1,0,,2026-08-16T12:00:26+00:00,0.8446,5.1852,1,0.0713,full,60.9152,763.52,1.0525,energy corrected from vendor daily counter (was 803.6),805.4,803.6
2026-08-15,NL2,1087.6,6.2189,shinemaster_history,0.5207,HIGH,0.1508,HIGH,2,0,,2026-08-16T12:00:27+00:00,0.5637,3.2381,1,0.3874,full,55.9238,1563.43,0.6942,energy corrected from vendor daily counter (was 1085.4),1727.2,1085.4
2026-08-15,GTO2,1658.265,6.4417,shinemaster_history,0.3503,HIGH,0.132,LOW,3,0,,2026-08-16T12:00:30+00:00,0.3772,2.2568,0.75,0.5879,full,85.6184,2713.24,0.4671,energy corrected from vendor daily counter (was 1267.4),3020.7,1267.42
2026-08-16,SLP1,873,6.6724,shinemaster_history,0.6865,HIGH,0.2408,HIGH,2,0,,2026-08-17T12:00:12+00:00,0.7483,4.5809,1,0.1628,full,19.5176,946.81,0.9154,energy corrected from vendor daily counter (was 866.7) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,873
2026-08-16,SLP2,1455,7.3394,shinemaster_history,0.7073,HIGH,0.243,HIGH,2,0,,2026-08-17T12:00:14+00:00,0.7639,5.1915,0.8571,0.1478,full,20.5204,1533.62,0.9431,energy corrected from vendor daily counter (was 1446.4) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,1455
