plant_key,year,month,design_kwh,contract_kwh,tariff_mxn,fixed_income_ccy,ccy
GTO1,2024,10,,84664.0,1.899,,
GTO1,2024,11,,74371.0,1.899,,
GTO1,2024,12,,69006.0,1.899,,
GTO1,2025,1,,73717.0,1.899,,
GTO1,2025,2,,81207.0,1.899,,
GTO1,2025,3,,102898.0,1.899,,
GTO1,2025,4,,105802.0,1.899,,
GTO1,2025,5,,108122.0,1.899,,
GTO1,2025,6,,96837.0,1.899,,
GTO1,2025,7,,95219.0,1.899,,
GTO1,2025,8,,98332.0,1.899,,
GTO1,2025,9,,83665.0,1.899,,
GTO1,2025,10,,84664.0,1.899,,
GTO1,2025,11,,74371.0,1.899,,
GTO1,2025,12,,69006.0,1.899,,
GTO1,2026,1,73314.0,73314.0,1.975,,
GTO1,2026,2,80762.0,80762.0,1.975,,
GTO1,2026,3,102335.0,102335.0,1.975,,
GTO1,2026,4,105223.0,105223.0,1.975,,
GTO1,2026,5,107530.0,107530.0,1.975,,
GTO1,2026,6,96307.0,96307.0,1.975,,
GTO1,2026,7,126721.0,94698.0,1.975,,
GTO1,2026,8,131472.0,97794.0,1.975,,
GTO1,2026,9,111820.0,83208.0,1.975,,
GTO1,2026,10,113919.0,84201.0,1.975,,
GTO1,2026,11,100128.0,73964.0,1.975,,
GTO1,2026,12,93094.0,68629.0,1.975,,
GTO1,2027,1,,72913.0,2.054,,
GTO1,2027,2,,80321.0,2.054,,
GTO1,2027,3,,101775.0,2.054,,
GTO1,2027,4,,104648.0,2.054,,
GTO1,2027,5,,106942.0,2.054,,
GTO1,2027,6,,95780.0,2.054,,
GTO1,2027,7,,94180.0,2.054,,
GTO1,2027,8,,97259.0,2.054,,
GTO1,2027,9,,82753.0,2.054,,
GTO1,2027,10,,83741.0,2.054,,
GTO1,2027,11,,73560.0,2.054,,
GTO1,2027,12,,68253.0,2.054,,
GTO1,2028,1,,72514.0,2.136,,
GTO1,2028,2,,79881.0,2.136,,
GTO1,2028,3,,101219.0,2.136,,
GTO1,2028,4,,104075.0,2.136,,
GTO1,2028,5,,106357.0,2.136,,
GTO1,2028,6,,95256.0,2.136,,
GTO1,2028,7,,93665.0,2.136,,
GTO1,2028,8,,96727.0,2.136,,
GTO1,2028,9,,82300.0,2.136,,
GTO1,2028,10,,83282.0,2.136,,
GTO1,2028,11,,73157.0,2.136,,
GTO1,2028,12,,67880.0,2.136,,
GTO1,2029,1,,72117.0,2.222,,
GTO1,2029,2,,79444.0,2.222,,
GTO1,2029,3,,100665.0,2.222,,
GTO1,2029,4,,103506.0,2.222,,
GTO1,2029,5,,105775.0,2.222,,
GTO1,2029,6,,94735.0,2.222,,
GTO1,2029,7,,93152.0,2.222,,
GTO1,2029,8,,96198.0,2.222,,
GTO1,2029,9,,81850.0,2.222,,
GTO1,2029,10,,82827.0,2.222,,
GTO1,2029,11,,72757.0,2.222,,
GTO1,2029,12,,67508.0,2.222,,
GTO1,2030,1,,71723.0,2.311,,
GTO1,2030,2,,79010.0,2.311,,
GTO1,2030,3,,100114.0,2.311,,
GTO1,2030,4,,102940.0,2.311,,
GTO1,2030,5,,105197.0,2.311,,
GTO1,2030,6,,94217.0,2.311,,
GTO1,2030,7,,92643.0,2.311,,
GTO1,2030,8,,95672.0,2.311,,
GTO1,2030,9,,81402.0,2.311,,
GTO1,2030,10,,82374.0,2.311,,
GTO1,2030,11,,72359.0,2.311,,
GTO1,2030,12,,67139.0,2.311,,
GTO1,2031,1,,71331.0,2.403,,
GTO1,2031,2,,78578.0,2.403,,
GTO1,2031,3,,99567.0,2.403,,
GTO1,2031,4,,102377.0,2.403,,
GTO1,2031,5,,104621.0,2.403,,
GTO1,2031,6,,93702.0,2.403,,
GTO1,2031,7,,92136.0,2.403,,
GTO1,2031,8,,95149.0,2.403,,
GTO1,2031,9,,80957.0,2.403,,
GTO1,2031,10,,81923.0,2.403,,
GTO1,2031,11,,71963.0,2.403,,
GTO1,2031,12,,66772.0,2.403,,
GTO1,2032,1,,70940.0,2.499,,
GTO1,2032,2,,78148.0,2.499,,
GTO1,2032,3,,99022.0,2.499,,
GTO1,2032,4,,101817.0,2.499,,
GTO1,2032,5,,104049.0,2.499,,
GTO1,2032,6,,93189.0,2.499,,
GTO1,2032,7,,91632.0,2.499,,
GTO1,2032,8,,94628.0,2.499,,
GTO1,2032,9,,80514.0,2.499,,
GTO1,2032,10,,81475.0,2.499,,
GTO1,2032,11,,71570.0,2.499,,
GTO1,2032,12,,66407.0,2.499,,
GTO1,2033,1,,70552.0,2.599,,
GTO1,2033,2,,77720.0,2.599,,
GTO1,2033,3,,98480.0,2.599,,
