loan_id,plant_key,ref_month,installment_no,total_installments,payment_mxn,payment_ccy,xr,due_after_mxn
GTO1-L1,GTO1,2024-10,1,84,94668.89,,,10365302.11
GTO1-L1,GTO1,2024-11,2,84,85770.64,,,10279531.47
GTO1-L1,GTO1,2024-12,3,84,91685.86,,,10187845.61
GTO1-L1,GTO1,2025-01,4,84,171932.77,,,10015912.84
GTO1-L1,GTO1,2025-02,5,84,167879.75,,,9848033.09
GTO1-L1,GTO1,2025-03,6,84,161015.18,,,9687017.91
GTO1-L1,GTO1,2025-04,7,84,174233.13,,,9512784.78
GTO1-L1,GTO1,2025-05,8,84,158970.41,,,9353814.37
GTO1-L1,GTO1,2025-06,9,84,166273.15,,,9187541.22
GTO1-L1,GTO1,2025-07,10,84,167879.75,,,9019661.47
GTO1-L1,GTO1,2025-08,11,84,158605.27,,,8861056.2
GTO1-L1,GTO1,2025-09,12,84,162877.38,,,8698178.82
GTO1-L1,GTO1,2025-10,13,84,161745.45,,,8536433.37
GTO1-L1,GTO1,2025-11,14,84,158021.06,,,8378412.31
GTO1-L1,GTO1,2025-12,15,84,164593.52,,,8213818.79
GTO1-L1,GTO1,2026-01,16,84,150791.35,,,8063027.44
GTO1-L1,GTO1,2026-02,17,84,157217.76,,,7905809.68
GTO1-L1,GTO1,2026-03,18,84,148746.58,,,7757063.1
GTO1-L1,GTO1,2026-04,19,84,157363.81,,,7599699.29
GTO1-L1,GTO1,2026-05,20,84,149075.2,,,7450624.09
GTO1-L1,GTO1,2026-06,21,84,152690.06,,,7297934.03
GTO1-L1,GTO1,2026-07,22,84,151558.14,,,7146375.89
GTO1-L1,GTO1,2026-08,23,84,148162.36,,,6998213.53
GTO1-L1,GTO1,2026-09,24,84,153748.96,,,6844464.57
GTO1-L1,GTO1,2026-10,25,84,141589.9,,,6702874.67
GTO1-L1,GTO1,2026-11,26,84,147030.44,,,6555844.23
GTO1-L1,GTO1,2026-12,27,84,148016.31,,,6407827.92
GTO1-L1,GTO1,2027-01,28,84,140604.03,,,6267223.89
GTO1-L1,GTO1,2027-02,29,84,143634.67,,,6123589.22
GTO1-L1,GTO1,2027-03,30,84,136477.98,,,5987111.24
GTO1-L1,GTO1,2027-04,31,84,141370.82,,,5845740.42
GTO1-L1,GTO1,2027-05,32,84,138303.66,,,5707436.76
GTO1-L1,GTO1,2027-06,33,84,142904.39,,,5564532.37
GTO1-L1,GTO1,2027-07,34,84,132388.45,,,5432143.92
GTO1-L1,GTO1,2027-08,35,84,136843.12,,,5295300.8
GTO1-L1,GTO1,2027-09,36,84,137500.37,,,5157800.43
GTO1-L1,GTO1,2027-10,37,84,131073.96,,,5026726.47
GTO1-L1,GTO1,2027-11,38,84,133447.35,,,4893279.12
GTO1-L1,GTO1,2027-12,39,84,132315.42,,,4760963.7
GTO1-L1,GTO1,2028-01,40,84,129540.38,,,4631423.32
GTO1-L1,GTO1,2028-02,41,84,133264.78,,,4498158.54
GTO1-L1,GTO1,2028-03,42,84,124209.39,,,4373949.15
GTO1-L1,GTO1,2028-04,43,84,126254.16,,,4247694.99
